id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Groove,Velvet Lane,r&b,romantic,0.55,92,0.78,0.72,0.42
12,Street Cypher,Block Theory,hip-hop,energetic,0.85,140,0.63,0.91,0.08
13,Nocturne in Blue,Clara Voss,classical,peaceful,0.22,56,0.60,0.28,0.96
14,Dusty Backroads,The Elm Creek Band,country,melancholic,0.44,88,0.41,0.55,0.82
15,Shattered Glass,Iron Veil,metal,angry,0.97,168,0.27,0.52,0.04
16,Wildflower Ballad,June Hollow,folk,sad,0.29,68,0.37,0.38,0.93
17,Drop Zone,Pulse Syndicate,edm,euphoric,0.96,128,0.86,0.97,0.02
18,Mississippi Burn,Low Delta,blues,melancholic,0.38,74,0.34,0.47,0.77
